rotation,method,ip_err
rht,mse-only,-268.690979
rht,mse-only,-227.944092
rht,mse-only,-202.64978
rht,mse-only,-241.27832
rht,mse-only,218.505005
rht,mse-only,-252.944824
rht,mse-only,-582.11615
rht,mse-only,-591.648071
rht,mse-only,-278.410431
rht,mse-only,-215.579712
rht,mse-only,227.59668
rht,mse-only,-293.026367
rht,mse-only,212.879395
rht,mse-only,-561.404297
rht,mse-only,-247.674438
rht,mse-only,-399.136353
rht,mse-only,177.626221
rht,mse-only,-233.874512
rht,mse-only,-264.189941
rht,mse-only,-231.48999
rht,mse-only,-222.591797
rht,mse-only,-429.540894
rht,mse-only,215.683105
rht,mse-only,-240.396057
rht,mse-only,-217.206909
rht,mse-only,-540.579529
rht,mse-only,174.245605
rht,mse-only,215.7229
rht,mse-only,-424.644226
rht,mse-only,-250.547913
rht,mse-only,-223.919189
rht,mse-only,-220.167603
rht,mse-only,-236.565186
rht,mse-only,213.505859
rht,mse-only,-358.041748
rht,mse-only,-216.500732
rht,mse-only,-297.453735
rht,mse-only,-587.030273
rht,mse-only,-236.288574
rht,mse-only,-210.761719
rht,mse-only,210.80481
rht,mse-only,-233.4552
rht,mse-only,-684.566467
rht,mse-only,-234.219849
rht,mse-only,-510.966309
rht,mse-only,-224.002319
rht,mse-only,-208.605835
rht,mse-only,-232.945923
rht,mse-only,202.406982
rht,mse-only,-245.825928
rht,mse-only,-261.035645
rht,mse-only,-689.728821
rht,mse-only,229.698486
rht,mse-only,-228.688232
rht,mse-only,208.816528
rht,mse-only,-242.575806
rht,mse-only,-378.121765
rht,mse-only,-232.925293
rht,mse-only,-213.865356
rht,mse-only,-234.332886
rht,mse-only,-798.581543
rht,mse-only,-205.578247
rht,mse-only,206.81665
rht,mse-only,-267.684448
rht,mse-only,-231.518799
rht,mse-only,-579.81665
rht,mse-only,225.360352
rht,mse-only,-297.640503
rht,mse-only,-588.24707
rht,mse-only,-544.596985
rht,mse-only,-247.674438
rht,mse-only,-505.496399
rht,mse-only,-220.13916
rht,mse-only,-222.818726
rht,mse-only,-223.023193
rht,mse-only,-271.617798
rht,mse-only,-688.859558
rht,mse-only,-221.2854
rht,mse-only,-205.29834
rht,mse-only,225.996582
rht,mse-only,-525.333008
rht,mse-only,213.791382
rht,mse-only,-225.718262
rht,mse-only,-297.280579
rht,mse-only,-743.988831
rht,mse-only,-262.824646
rht,mse-only,-237.609497
rht,mse-only,-232.527466
rht,mse-only,-265.385925
rht,mse-only,-237.513184
rht,mse-only,214.426758
rht,mse-only,-723.189819
rht,mse-only,-435.775024
rht,mse-only,-229.09729
rht,mse-only,-348.641968
rht,mse-only,-578.62146
rht,mse-only,-227.057373
rht,mse-only,-235.486572
rht,mse-only,-220.312866
rht,mse-only,-200.789795
rht,mse-only,-284.843079
rht,mse-only,221.822876
rht,mse-only,-221.62085
rht,mse-only,-218.887695
rht,mse-only,-413.183289
rht,mse-only,-237.088013
rht,mse-only,-216.309082
rht,mse-only,-273.403442
rht,mse-only,-708.79248
rht,mse-only,-228.323975
rht,mse-only,-580.305115
rht,mse-only,-225.653198
rht,mse-only,-256.106445
rht,mse-only,-445.990295
rht,mse-only,-209.547607
rht,mse-only,-775.660522
rht,mse-only,-697.947571
rht,mse-only,-248.595215
rht,mse-only,-207.26062
rht,mse-only,-435.650452
rht,mse-only,-399.11322
rht,mse-only,-218.517456
rht,mse-only,-689.094543
rht,mse-only,210.942261
rht,mse-only,-761.81604
rht,mse-only,-222.413086
rht,mse-only,-441.486877
rht,mse-only,-675.989441
rht,mse-only,-226.339355
rht,mse-only,-205.46936
rht,mse-only,-313.754272
rht,mse-only,-507.637939
rht,mse-only,-220.181763
rht,mse-only,-593.409607
rht,mse-only,-227.329834
rht,mse-only,-694.220947
rht,mse-only,-219.613037
rht,mse-only,-689.094543
rht,mse-only,-550.523254
rht,mse-only,-525.93988
rht,mse-only,-583.116882
rht,mse-only,230.105103
rht,mse-only,205.327026
rht,mse-only,-227.084351
rht,mse-only,-231.527588
rht,mse-only,-233.943481
rht,mse-only,218.891113
rht,mse-only,-761.81604
rht,mse-only,-227.109863
rht,mse-only,185.379578
rht,mse-only,225.041992
rht,mse-only,-695.07782
rht,mse-only,-622.556458
rht,mse-only,-684.440002
rht,mse-only,-314.334778
rht,mse-only,-410.562866
rht,mse-only,-218.599609
rht,mse-only,-261.119263
rht,mse-only,222.12854
rht,mse-only,-242.575806
rht,mse-only,-464.6633
rht,mse-only,-245.333557
rht,mse-only,-231.484619
rht,mse-only,-654.08075
rht,mse-only,-703.714783
rht,mse-only,-451.239197
rht,mse-only,-228.53772
rht,mse-only,-274.075256
rht,mse-only,200.789673
rht,mse-only,-233.483521
rht,mse-only,-229.380371
rht,mse-only,-561.273315
rht,mse-only,-257.365173
rht,mse-only,-230.139893
rht,mse-only,-319.660553
rht,mse-only,-228.339111
rht,mse-only,-689.094543
rht,mse-only,206.858032
rht,mse-only,-453.787903
rht,mse-only,-228.252319
rht,mse-only,-209.838989
rht,mse-only,-230.861938
rht,mse-only,-260.930542
rht,mse-only,209.233887
rht,mse-only,-239.925049
rht,mse-only,-713.694763
rht,mse-only,208.900513
rht,mse-only,-546.751709
rht,mse-only,-211.526001
rht,mse-only,-224.967163
rht,mse-only,-224.387085
rht,mse-only,-266.602051
rht,mse-only,-536.71405
rht,mse-only,213.543823
rht,mse-only,-224.817383
rht,mse-only,-582.11615
rht,mse-only,-662.116577
rht,mse-only,-250.666565
rht,mse-only,-221.164185
rht,mse-only,224.433228
rht,mse-only,213.42981
rht,mse-only,-215.964844
rht,mse-only,192.367798
rht,mse-only,-246.144653
rht,mse-only,-663.27356
rht,mse-only,-582.560303
rht,mse-only,-459.202332
rht,mse-only,-220.879395
rht,mse-only,-230.56311
rht,mse-only,-641.375854
rht,mse-only,167.012085
rht,mse-only,-708.204773
rht,mse-only,-232.411499
rht,mse-only,-668.891663
rht,mse-only,-227.050659
rht,mse-only,211.661377
rht,mse-only,-557.228027
rht,mse-only,-317.075958
rht,mse-only,203.943237
rht,mse-only,-220.697388
rht,mse-only,-637.207275
rht,mse-only,-221.869629
rht,mse-only,-243.540588
rht,mse-only,-234.523682
rht,mse-only,-261.706238
rht,mse-only,-236.064819
rht,mse-only,-221.60498
rht,mse-only,-239.325684
rht,mse-only,200.231079
rht,mse-only,212.185181
rht,mse-only,-235.228516
rht,mse-only,216.421631
rht,mse-only,-212.869263
rht,mse-only,-447.657959
rht,mse-only,-230.42334
rht,mse-only,-293.705872
rht,mse-only,-204.288574
rht,mse-only,-241.945862
rht,mse-only,-561.054565
rht,mse-only,-573.525818
rht,mse-only,-216.4375
rht,mse-only,-688.607788
rht,mse-only,-247.638794
rht,mse-only,-244.632019
rht,mse-only,-207.858521
rht,mse-only,-263.167603
rht,mse-only,223.084473
rht,mse-only,-216.341797
rht,mse-only,219.640869
rht,mse-only,-212.597656
rht,mse-only,-573.525818
rht,mse-only,-231.265747
rht,mse-only,-240.798462
rht,mse-only,-253.289429
rht,mse-only,216.421631
rht,mse-only,-698.391113
rht,mse-only,-358.290039
rht,mse-only,-510.333618
rht,mse-only,-221.829712
rht,mse-only,-563.829895
rht,mse-only,229.347778
rht,mse-only,-271.068726
rht,mse-only,-724.946716
rht,mse-only,-217.403076
rht,mse-only,-265.958618
rht,mse-only,-628.876282
rht,mse-only,-607.16449
rht,mse-only,-228.992798
rht,mse-only,224.392456
rht,mse-only,-255.65271
rht,mse-only,-226.435913
rht,mse-only,-238.396729
rht,mse-only,-232.411499
rht,mse-only,210.664429
rht,mse-only,-255.090149
rht,mse-only,-536.152283
rht,mse-only,-309.591797
rht,mse-only,-211.231445
rht,mse-only,-220.757324
rht,mse-only,-203.208374
rht,mse-only,-214.162109
rht,mse-only,-301.067139
rht,mse-only,-294.8797
rht,mse-only,215.602905
rht,mse-only,-231.167603
rht,mse-only,217.598267
rht,mse-only,-244.09967
rht,mse-only,-274.838531
rht,mse-only,-226.439819
rht,mse-only,200.231079
rht,mse-only,-274.050903
rht,mse-only,-578.815857
rht,mse-only,-517.781616
rht,mse-only,-576.912537
rht,mse-only,-564.008118
rht,mse-only,-219.938477
rht,mse-only,-239.822388
rht,mse-only,-349.700256
rht,mse-only,-237.272522
rht,mse-only,-233.225708
rht,mse-only,-217.779175
rht,mse-only,-265.958618
rht,mse-only,-419.786926
rht,mse-only,-252.340759
rht,mse-only,-220.987183
rht,mse-only,-219.483398
rht,mse-only,-188.099243
rht,mse-only,226.800415
rht,mse-only,228.173828
rht,mse-only,-231.255371
rht,mse-only,170.621094
rht,mse-only,-202.095703
rht,mse-only,-238.198486
rht,mse-only,-222.976074
rht,mse-only,-281.847076
rht,mse-only,-743.988831
rht,mse-only,-223.573242
rht,mse-only,-726.779663
rht,mse-only,-245.042603
rht,mse-only,-416.840088
rht,mse-only,214.883301
rht,mse-only,-223.984863
rht,mse-only,-264.052063
rht,mse-only,-525.192017
rht,mse-only,199.958496
rht,mse-only,-239.781067
rht,mse-only,-706.424927
rht,mse-only,-577.920776
rht,mse-only,-663.157532
rht,mse-only,-585.957642
rht,mse-only,-244.005615
rht,mse-only,-241.96875
rht,mse-only,-484.472961
rht,mse-only,-232.925293
rht,mse-only,-263.775391
rht,mse-only,-550.402588
rht,mse-only,-219.855957
rht,mse-only,-230.579224
rht,mse-only,-491.658691
rht,mse-only,-689.408203
rht,mse-only,-226.815552
rht,mse-only,-219.63562
rht,mse-only,209.233887
rht,mse-only,193.073608
rht,mse-only,-214.864014
rht,mse-only,-230.713745
rht,mse-only,-258.006348
rht,mse-only,201.568115
rht,mse-only,-257.863342
rht,mse-only,-256.106445
rht,mse-only,-219.433472
rht,mse-only,-222.442505
rht,mse-only,-265.097961
rht,mse-only,-204.463379
rht,mse-only,-219.668335
rht,mse-only,-563.528992
rht,mse-only,-225.859497
rht,mse-only,-264.208679
