rotation,method,ip_err
rht,direct-m512-o8,330.538818
rht,direct-m512-o8,408.470581
rht,direct-m512-o8,377.404419
rht,direct-m512-o8,470.573608
rht,direct-m512-o8,225.674316
rht,direct-m512-o8,396.300659
rht,direct-m512-o8,461.003113
rht,direct-m512-o8,450.716614
rht,direct-m512-o8,196.817261
rht,direct-m512-o8,241.985229
rht,direct-m512-o8,398.756165
rht,direct-m512-o8,412.771729
rht,direct-m512-o8,226.831543
rht,direct-m512-o8,172.637695
rht,direct-m512-o8,413.807983
rht,direct-m512-o8,268.512329
rht,direct-m512-o8,417.378723
rht,direct-m512-o8,162.494629
rht,direct-m512-o8,319.163879
rht,direct-m512-o8,394.703003
rht,direct-m512-o8,240.26416
rht,direct-m512-o8,466.36322
rht,direct-m512-o8,365.549072
rht,direct-m512-o8,421.323853
rht,direct-m512-o8,319.163879
rht,direct-m512-o8,336.23645
rht,direct-m512-o8,363.1427
rht,direct-m512-o8,384.747803
rht,direct-m512-o8,262.577271
rht,direct-m512-o8,354.310669
rht,direct-m512-o8,371.789795
rht,direct-m512-o8,182.137695
rht,direct-m512-o8,371.772583
rht,direct-m512-o8,254.826294
rht,direct-m512-o8,371.247314
rht,direct-m512-o8,181.623779
rht,direct-m512-o8,392.905518
rht,direct-m512-o8,472.160461
rht,direct-m512-o8,344.054626
rht,direct-m512-o8,372.744751
rht,direct-m512-o8,367.155518
rht,direct-m512-o8,418.3125
rht,direct-m512-o8,327.369995
rht,direct-m512-o8,362.783203
rht,direct-m512-o8,450.186646
rht,direct-m512-o8,258.146362
rht,direct-m512-o8,426.446716
rht,direct-m512-o8,277.169312
rht,direct-m512-o8,236.770508
rht,direct-m512-o8,271.795776
rht,direct-m512-o8,363.157471
rht,direct-m512-o8,314.81897
rht,direct-m512-o8,373.917725
rht,direct-m512-o8,345.22644
rht,direct-m512-o8,355.466797
rht,direct-m512-o8,364.585327
rht,direct-m512-o8,420.782837
rht,direct-m512-o8,375.755005
rht,direct-m512-o8,278.338257
rht,direct-m512-o8,402.76062
rht,direct-m512-o8,420.782837
rht,direct-m512-o8,391.412964
rht,direct-m512-o8,355.215637
rht,direct-m512-o8,410.63562
rht,direct-m512-o8,347.971069
rht,direct-m512-o8,387.423828
rht,direct-m512-o8,252.532593
rht,direct-m512-o8,222.728088
rht,direct-m512-o8,420.970764
rht,direct-m512-o8,370.604858
rht,direct-m512-o8,396.455444
rht,direct-m512-o8,274.043762
rht,direct-m512-o8,292.831665
rht,direct-m512-o8,387.104614
rht,direct-m512-o8,292.216553
rht,direct-m512-o8,274.625732
rht,direct-m512-o8,389.296143
rht,direct-m512-o8,248.336304
rht,direct-m512-o8,417.828674
rht,direct-m512-o8,387.008789
rht,direct-m512-o8,418.911987
rht,direct-m512-o8,395.144653
rht,direct-m512-o8,359.834717
rht,direct-m512-o8,340.208496
rht,direct-m512-o8,399.506714
rht,direct-m512-o8,268.978699
rht,direct-m512-o8,359.974609
rht,direct-m512-o8,399.654785
rht,direct-m512-o8,357.837402
rht,direct-m512-o8,338.174377
rht,direct-m512-o8,285.507812
rht,direct-m512-o8,240.235352
rht,direct-m512-o8,378.501831
rht,direct-m512-o8,339.186646
rht,direct-m512-o8,249.102661
rht,direct-m512-o8,334.565308
rht,direct-m512-o8,235.229492
rht,direct-m512-o8,371.069336
rht,direct-m512-o8,262.743164
rht,direct-m512-o8,387.734375
rht,direct-m512-o8,219.419983
rht,direct-m512-o8,321.235229
rht,direct-m512-o8,371.953369
rht,direct-m512-o8,391.774414
rht,direct-m512-o8,403.35022
rht,direct-m512-o8,383.099243
rht,direct-m512-o8,411.469788
rht,direct-m512-o8,409.729248
rht,direct-m512-o8,467.918152
rht,direct-m512-o8,397.027527
rht,direct-m512-o8,256.034912
rht,direct-m512-o8,391.226929
rht,direct-m512-o8,473.943237
rht,direct-m512-o8,382.36554
rht,direct-m512-o8,336.517029
rht,direct-m512-o8,407.82312
rht,direct-m512-o8,311.21814
rht,direct-m512-o8,284.262085
rht,direct-m512-o8,329.581543
rht,direct-m512-o8,352.974976
rht,direct-m512-o8,438.624023
rht,direct-m512-o8,389.344971
rht,direct-m512-o8,332.215454
rht,direct-m512-o8,441.932495
rht,direct-m512-o8,292.579346
rht,direct-m512-o8,392.61499
rht,direct-m512-o8,330.879639
rht,direct-m512-o8,232.407104
rht,direct-m512-o8,376.952637
rht,direct-m512-o8,334.576843
rht,direct-m512-o8,340.040405
rht,direct-m512-o8,266.442627
rht,direct-m512-o8,361.211426
rht,direct-m512-o8,352.237183
rht,direct-m512-o8,219.974792
rht,direct-m512-o8,328.280762
rht,direct-m512-o8,424.996887
rht,direct-m512-o8,387.38916
rht,direct-m512-o8,418.495483
rht,direct-m512-o8,414.090698
rht,direct-m512-o8,172.450806
rht,direct-m512-o8,308.175293
rht,direct-m512-o8,404.954407
rht,direct-m512-o8,334.815063
rht,direct-m512-o8,259.688965
rht,direct-m512-o8,413.807983
rht,direct-m512-o8,264.821655
rht,direct-m512-o8,449.090393
rht,direct-m512-o8,418.911987
rht,direct-m512-o8,391.461731
rht,direct-m512-o8,360.571167
rht,direct-m512-o8,418.911987
rht,direct-m512-o8,174.209351
rht,direct-m512-o8,357.795776
rht,direct-m512-o8,350.29895
rht,direct-m512-o8,289.465088
rht,direct-m512-o8,179.802612
rht,direct-m512-o8,374.754517
rht,direct-m512-o8,302.997803
rht,direct-m512-o8,391.226929
rht,direct-m512-o8,149.050781
rht,direct-m512-o8,342.28833
rht,direct-m512-o8,265.390503
rht,direct-m512-o8,374.46228
